uic,unit,mcn,act_take_cd,ref_loc_use,ddsn,awp_fg,ref_symb,fail_part_fg,fail_cage,fail_part_no,mal_dscrptn_cd,ty_itm_ind,matl_index,repl_reqd_fg,ovrd_cgpn_fg,ti_crit_fg,ti_maf_fg,proj_cd,scnd_adv_cd,cannib_fg,actl_rcpt_dttm,fail_qty,xref_ind,iss_pri_dsg,ord_dttm,ti_mcn,reqd_cage,reqd_part_no,ovrd_reqd_cgpn_fg,end_itm_rep_fg,reord_xref_ind,ord_otcpn_fg
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B719,N,SEAL,N,99207,6071T03G07,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:50:36.183000,1,34,03,2025-02-21 11:17:56.086000, ,99207,6071T03G07,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71A,N,PACKING,N,88013,AS3209-010,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:43:18.126000,1,35,03,2025-02-21 11:17:57.853000, ,88013,AS3209-010,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71B,N,SCREW,N,99207,R1472P004,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:43:29.556000,1,36,03,2025-02-21 11:17:59.960000, ,99207,R1472P004,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B718,N,NUT,N,99207,5034T83P10,None,C, ,Y,N,N,N,ZQ9, ,N,1900-01-01 00:00:00,1,37,03,2025-02-21 11:17:54.430000, ,99207,5034T83P10,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71D,N,NUT,N,99207,5034T83P11,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-27 13:28:00,1,38,03,2025-02-21 11:18:03.403000, ,99207,5034T83P11,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B715,N,PACKING,N,07482,J221P232,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:50:31.196000,1,39,03,2025-02-21 11:17:49.010000, ,07482,J221P232,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71F,N,PACKING,N,07482,J221P223,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:43:36.103000,1,40,03,2025-02-21 11:18:07.710000, ,07482,J221P223,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71G,N,PACKING,N,07482,J221P153,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:51:30.700000,1,41,03,2025-02-21 11:18:09.346000, ,07482,J221P153,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71H,N,SCREW,N,99207,R1471P003,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:43:41.603000,1,42,03,2025-02-21 11:18:11.166000, ,99207,R1471P003,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71J,N,SEAL,N,99207,4051T70G01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:51:36.330000,1,43,03,2025-02-21 11:18:13.096000, ,99207,4051T70G01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71K,N,PACKING,N,07482,J221P024,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:43:47.530000,1,44,03,2025-02-21 11:18:14.586000, ,07482,J221P024,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B714,N,PACKING,N,81343,AS3209-017,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:30:00,1,45,03,2025-02-21 11:17:46.856000, ,81343,AS3209-017,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B713,N,TUBE,N,99207,3049T14P01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:30:00,1,46,03,2025-02-21 11:17:45.020000, ,99207,3049T14P01,N,N,0,N
